filename,total_points,bathymetry_points,bathy_percentage
20230708_0274_20_4.parquet,1655,0,0.0
20230802_0663_20_1.parquet,10086,213,22.59
20230802_0663_20_2.parquet,3715,25,9.03
20230708_0274_20_3.parquet,5137,0,0.0
20230802_0663_20_3.parquet,10552,825,57.65
20230802_0663_20_4.parquet,5297,352,50.14
20230831_1105_20_6.parquet,1718,188,54.34
20230831_1105_20_5.parquet,5813,380,41.26
20230708_0274_20_6.parquet,12522,9,0.15
20231006_0274_21_6.parquet,14806,0,0.0
20230708_0274_20_5.parquet,26713,275,2.71
20231006_0274_21_5.parquet,57804,0,0.0
