filename,total_points,bathymetry_points,bathy_percentage
20230708_0274_20_4.parquet,1655,0,0.0
20230802_0663_20_1.parquet,10086,231,24.5
20230802_0663_20_2.parquet,3715,8,2.89
20230708_0274_20_3.parquet,5137,0,0.0
20230802_0663_20_3.parquet,10552,822,57.44
20230802_0663_20_4.parquet,5297,352,50.14
20230831_1105_20_6.parquet,1718,188,54.34
20230831_1105_20_5.parquet,5813,376,40.83
20230708_0274_20_6.parquet,12522,167,3.52
20231006_0274_21_6.parquet,14806,0,0.0
20230708_0274_20_5.parquet,26713,306,3.21
20231006_0274_21_5.parquet,57804,0,0.0
